Name,Team,Position,Height(inches),Weight(lbs),Age
*,A**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,A**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
